,county,all pop,tindoor_07-02-2023,tindoor_08-02-2023,tindoor_09-02-2023,tindoor_10-02-2023,tindoor_11-02-2023,tindoor_12-02-2023,tindoor_13-02-2023,vulnerability_07-02-2023,vulnerability_08-02-2023,vulnerability_09-02-2023,vulnerability_10-02-2023,vulnerability_11-02-2023,vulnerability_12-02-2023,vulnerability_13-02-2023,toutdoor_07-02-2023,toutdoor_08-02-2023,toutdoor_09-02-2023,toutdoor_10-02-2023,toutdoor_11-02-2023,toutdoor_12-02-2023,toutdoor_13-02-2023,icaro_07-02-2023,icaro_08-02-2023,icaro_09-02-2023,icaro_10-02-2023,icaro_11-02-2023,icaro_12-02-2023,icaro_13-02-2023
258,alcacer-do-sal,21127,17.5,17.9,18.5,17.7,16.5,15.2,15.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.7,4.5,0.4,6.5,8.6,8.4,4.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1
259,alcochete,29268,16.8,17.3,18.3,17.6,16.8,16.1,16.0,0.0887,0.0887,0.0887,0.0887,0.0887,0.0887,0.0887,2.3,2.7,2.1,6.4,8.5,6.8,3.8,0.0887,0.0887,0.0887,0.0887,0.0887,0.0887,0.0887
260,almada,286752,17.4,17.3,18.5,18.0,17.1,16.6,16.5,0.2705,0.2705,0.2705,0.2705,0.2705,0.2705,0.2705,3.4,5.2,4.3,6.1,7.4,8.7,5.7,0.2705,0.2705,0.2705,0.2705,0.2705,0.2705,0.2705
261,barreiro,129296,16.0,16.4,16.7,16.3,14.8,14.6,14.2,0.1372,0.1372,0.1372,0.1372,0.1372,0.1372,0.1372,4.0,3.6,3.7,5.9,8.8,7.0,4.1,0.1372,0.1372,0.1372,0.1372,0.1372,0.1372,0.1372
262,grandola,24027,16.6,17.0,18.1,17.9,16.6,15.7,15.3,0.1117,0.1117,0.1117,0.1117,0.1117,0.1117,0.1117,2.2,2.4,1.9,5.5,8.1,6.3,2.8,0.1117,0.1117,0.1117,0.1117,0.1117,0.1117,0.1117
263,moita,110228,16.7,17.1,18.1,17.7,17.1,16.6,16.6,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,1.1,1.2,1.4,6.1,8.6,6.4,3.4,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189
264,montijo,85369,17.0,17.2,17.9,17.1,16.1,15.1,14.8,0.0964,0.0964,0.0964,0.0964,0.0964,0.0964,0.0964,1.5,1.8,0.6,5.5,7.8,7.2,3.8,0.0964,0.0964,0.0964,0.0964,0.0964,0.0964,0.0964
265,palmela,104011,17.0,17.5,18.3,17.7,16.8,16.1,15.8,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,1.3,1.7,0.1,6.0,7.2,7.9,3.3,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971
266,santiago-do-cacem,48801,17.2,17.5,18.6,18.3,17.1,16.1,16.0,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,1.8,4.1,2.5,4.0,7.5,7.5,4.1,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142,0.1142
267,seixal,266358,17.5,17.8,18.7,18.3,17.8,17.4,17.2,0.1613,0.1613,0.1613,0.1613,0.1613,0.1613,0.1613,3.8,4.2,4.2,5.9,8.7,7.3,4.6,0.1613,0.1613,0.1613,0.1613,0.1613,0.1613,0.1613
268,sesimbra,82634,16.6,17.6,18.9,17.8,16.7,16.3,15.9,0.1553,0.1553,0.1553,0.1553,0.1553,0.1553,0.1553,0.8,1.1,0.3,4.1,9.7,8.7,3.4,0.1553,0.1553,0.1553,0.1553,0.1553,0.1553,0.1553
269,setubal,200907,17.6,17.9,18.7,18.4,17.5,16.8,16.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.5,4.2,2.4,5.5,8.9,7.9,4.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
270,sines,23904,18.3,18.6,19.4,18.9,17.3,16.2,16.0,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,4.9,5.5,5.5,5.1,7.4,9.9,6.7,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217
